20 10
1 1 1
1 2 1
1 3 1
1 5 1
2 1 1
2 4 1
2 6 1
3 2 1
3 3 1
3 4 1
3 7 1
4 1 1
4 2 1
4 5 1
4 8 1
5 3 1
5 4 1
5 6 1
5 9 1
6 1 1
6 2 1
6 7 1
6 10 1
7 2 1
7 3 1
7 5 1
8 1 1
8 4 1
8 6 1
8 7 1
9 2 1
9 3 1
9 8 1
9 9 1
10 1 1
10 5 1
10 6 1
10 10 1
11 1 1
11 2 1
11 3 1
11 4 1
12 2 1
12 5 1
12 7 1
12 8 1
13 1 1
13 3 1
13 6 1
13 9 1
14 2 1
14 4 1
14 5 1
14 10 1
15 1 1
15 3 1
15 7 1
15 8 1
16 2 1
16 4 1
16 6 1
16 9 1
17 1 1
17 2 1
17 5 1
17 10 1
18 3 1
18 4 1
18 7 1
18 8 1
19 1 1
19 2 1
19 6 1
19 9 1
20 3 1
20 5 1
20 7 1
20 10 1
-1
