=== ECLAT RARE MIXED - RARE ITEMSETS MINING ===
File dữ liệu: accidents.hui
MinRareSupport (minsup): 15.0%
MinFrequentSupport (maxsup): 50.0%
MinSize: 1 items
MaxSize: 5 items
Mode: MIXED (Frequent + Rare Items)
Thời gian bắt đầu: Thu Jun 05 04:18:25 ICT 2025
Output folder: release/EclatRare/
Optimization: BitSet for improved performance

========== ĐỊNH NGHĨA MIXED MODE ==========
- Rare Item: MRT < Support(X) <= MFT
- Frequent Item: Support(X) > MFT
- Infrequent Item: Support(X) <= MRT
- Rare ItemSet: MRT < Support(Pattern) <= MFT AND có ít nhất 1 rare item
- Kích thước itemset: 1 <= size <= 5
- Chấp nhận patterns chứa cả frequent và rare items

========== DATABASE INFO ==========
Số lượng giao dịch: 340183

========== MIXED RARE ITEMSETS ==========
Tìm itemsets với support trong khoảng (15.0%, 50.0%]
Kích thước itemset: 1 <= size <= 5
Điều kiện: Pattern có ít nhất 1 rare item
Mode: MIXED (chấp nhận cả frequent và rare items)
Optimization: BitSet for improved performance

--- 1-itemsets HIẾM (MIXED) ---
2  #SUP: 53313 (15.67%)
5  #SUP: 87125 (25.61%)
7  #SUP: 63203 (18.58%)
9  #SUP: 65654 (19.30%)
13  #SUP: 55502 (16.32%)
19  #SUP: 55009 (16.17%)
23  #SUP: 155901 (45.83%)
26  #SUP: 145386 (42.74%)
30  #SUP: 165311 (48.59%)
33  #SUP: 72103 (21.20%)
35  #SUP: 66321 (19.50%)
39  #SUP: 148762 (43.73%)
42  #SUP: 58029 (17.06%)
44  #SUP: 81036 (23.82%)
46  #SUP: 149518 (43.95%)
47  #SUP: 98762 (29.03%)
49  #SUP: 66430 (19.53%)
53  #SUP: 129054 (37.94%)
56  #SUP: 113311 (33.31%)
60  #SUP: 143416 (42.16%)
61  #SUP: 77682 (22.84%)
62  #SUP: 65492 (19.25%)
64  #SUP: 86208 (25.34%)
68  #SUP: 81477 (23.95%)
72  #SUP: 51926 (15.26%)
80  #SUP: 128400 (37.74%)
82  #SUP: 75753 (22.27%)
84  #SUP: 68313 (20.08%)
95  #SUP: 56627 (16.65%)
98  #SUP: 52183 (15.34%)
102  #SUP: 66056 (19.42%)
108  #SUP: 64119 (18.85%)
125  #SUP: 55171 (16.22%)
335  #SUP: 81839 (24.06%)

--- 2-itemsets HIẾM (MIXED) ---
1 5  #SUP: 59504 (17.49%)
1 23  #SUP: 92656 (27.24%)
1 26  #SUP: 90635 (26.64%)
1 30  #SUP: 97445 (28.64%)
1 39  #SUP: 94322 (27.73%)
1 46  #SUP: 97119 (28.55%)
1 53  #SUP: 89011 (26.17%)
1 56  #SUP: 78116 (22.96%)
1 60  #SUP: 99438 (29.23%)
1 61  #SUP: 52537 (15.44%)
1 64  #SUP: 56241 (16.53%)
1 80  #SUP: 84336 (24.79%)
1 82  #SUP: 52362 (15.39%)
1 335  #SUP: 51575 (15.16%)
5 8  #SUP: 54791 (16.11%)
5 12  #SUP: 78307 (23.02%)
5 14  #SUP: 51474 (15.13%)
5 15  #SUP: 66121 (19.44%)
5 16  #SUP: 77476 (22.77%)
5 17  #SUP: 78503 (23.08%)
5 18  #SUP: 78300 (23.02%)
5 21  #SUP: 73749 (21.68%)
5 22  #SUP: 56665 (16.66%)
5 24  #SUP: 62456 (18.36%)
5 25  #SUP: 58614 (17.23%)
5 27  #SUP: 69775 (20.51%)
5 28  #SUP: 63364 (18.63%)
5 29  #SUP: 69883 (20.54%)
5 31  #SUP: 76364 (22.45%)
5 41  #SUP: 67882 (19.95%)
5 43  #SUP: 68776 (20.22%)
5 56  #SUP: 53447 (15.71%)
5 59  #SUP: 65098 (19.14%)
7 12  #SUP: 56846 (16.71%)
7 16  #SUP: 54298 (15.96%)
7 17  #SUP: 56869 (16.72%)
7 18  #SUP: 56750 (16.68%)
8 23  #SUP: 93898 (27.60%)
8 26  #SUP: 91221 (26.82%)
8 30  #SUP: 102001 (29.98%)
8 39  #SUP: 92718 (27.26%)
8 46  #SUP: 99341 (29.20%)
8 47  #SUP: 61724 (18.14%)
8 53  #SUP: 86756 (25.50%)
8 56  #SUP: 75491 (22.19%)
8 60  #SUP: 90048 (26.47%)
8 64  #SUP: 57419 (16.88%)
8 80  #SUP: 82676 (24.30%)
8 335  #SUP: 51139 (15.03%)
9 12  #SUP: 58900 (17.31%)
9 16  #SUP: 57313 (16.85%)
9 17  #SUP: 59091 (17.37%)
9 18  #SUP: 58914 (17.32%)
9 21  #SUP: 54194 (15.93%)
9 29  #SUP: 52392 (15.40%)
9 31  #SUP: 55312 (16.26%)
10 23  #SUP: 88432 (26.00%)
10 26  #SUP: 70700 (20.78%)
10 30  #SUP: 84947 (24.97%)
10 39  #SUP: 74701 (21.96%)
10 46  #SUP: 71342 (20.97%)
10 47  #SUP: 55192 (16.22%)
10 60  #SUP: 69743 (20.50%)
12 23  #SUP: 140293 (41.24%)
12 26  #SUP: 130694 (38.42%)
12 30  #SUP: 148559 (43.67%)
12 33  #SUP: 64934 (19.09%)
12 35  #SUP: 59635 (17.53%)
12 39  #SUP: 133497 (39.24%)
12 42  #SUP: 52013 (15.29%)
12 44  #SUP: 72810 (21.40%)
12 46  #SUP: 134048 (39.40%)
12 47  #SUP: 88847 (26.12%)
12 49  #SUP: 59696 (17.55%)
12 53  #SUP: 115942 (34.08%)
12 56  #SUP: 101776 (29.92%)
12 60  #SUP: 128757 (37.85%)
12 61  #SUP: 69880 (20.54%)
12 62  #SUP: 58784 (17.28%)
12 64  #SUP: 77458 (22.77%)
12 68  #SUP: 73058 (21.48%)
12 80  #SUP: 115369 (33.91%)
12 82  #SUP: 68139 (20.03%)
12 84  #SUP: 61457 (18.07%)
12 102  #SUP: 59457 (17.48%)
12 108  #SUP: 57586 (16.93%)
12 335  #SUP: 73598 (21.63%)
14 23  #SUP: 79333 (23.32%)
14 26  #SUP: 80559 (23.68%)
14 30  #SUP: 91232 (26.82%)
14 39  #SUP: 83004 (24.40%)
14 46  #SUP: 94636 (27.82%)
14 47  #SUP: 51103 (15.02%)
14 53  #SUP: 78055 (22.95%)
14 56  #SUP: 66319 (19.50%)
14 60  #SUP: 83805 (24.64%)
14 64  #SUP: 53893 (15.84%)
14 80  #SUP: 73892 (21.72%)
15 23  #SUP: 106397 (31.28%)
15 26  #SUP: 103627 (30.46%)
15 30  #SUP: 119836 (35.23%)
15 39  #SUP: 108776 (31.98%)
15 44  #SUP: 58984 (17.34%)
15 46  #SUP: 114112 (33.54%)
15 47  #SUP: 67784 (19.93%)
15 53  #SUP: 96638 (28.41%)
15 56  #SUP: 83575 (24.57%)
15 60  #SUP: 107870 (31.71%)
15 61  #SUP: 57003 (16.76%)
15 62  #SUP: 51484 (15.13%)
15 64  #SUP: 65198 (19.17%)
15 68  #SUP: 54381 (15.99%)
15 80  #SUP: 95203 (27.99%)
15 82  #SUP: 55970 (16.45%)
15 108  #SUP: 51164 (15.04%)
15 335  #SUP: 61583 (18.10%)
16 23  #SUP: 135431 (39.81%)
