=== RP-GROWTH MIXED - RARE PATTERN MINING ===
File dữ liệu: accidents.hui
MinRareSupport (minsup): 15.0%
MinFrequentSupport (maxsup): 50.0%
MinSize: 1 items
MaxSize: 4 items
Mode: MIXED (Frequent + Rare Items)
Thời gian bắt đầu: Thu Jun 05 10:37:15 ICT 2025
Output folder: release/RPGrowth/

========== ĐỊNH NGHĨA MIXED MODE ==========
- Rare Item: MRT < Support(X) <= MFT
- Frequent Item: Support(X) > MFT
- Infrequent Item: Support(X) <= MRT
- Rare ItemSet: MRT < Support(Pattern) <= MFT AND có ít nhất 1 rare item
- Kích thước itemset: 1 <= size <= 4
- Chấp nhận patterns chứa cả frequent và rare items

========== MIXED RARE ITEMSETS ==========
Tìm itemsets với support trong khoảng (15.0%, 50.0%]
Kích thước itemset: 1 <= size <= 4
Điều kiện: Pattern có ít nhất 1 rare item
Mode: MIXED (chấp nhận cả frequent và rare items)

========== DATABASE INFO ==========
Số lượng giao dịch: 340183

--- 1-itemsets HIẾM (MIXED) ---
72  #SUP: 51926 (15.26%)
98  #SUP: 52183 (15.34%)
2  #SUP: 53313 (15.67%)
19  #SUP: 55009 (16.17%)
125  #SUP: 55171 (16.22%)
13  #SUP: 55502 (16.32%)
95  #SUP: 56627 (16.65%)
42  #SUP: 58029 (17.06%)
7  #SUP: 63203 (18.58%)
108  #SUP: 64119 (18.85%)
62  #SUP: 65492 (19.25%)
9  #SUP: 65654 (19.30%)
102  #SUP: 66056 (19.42%)
35  #SUP: 66321 (19.50%)
49  #SUP: 66430 (19.53%)
84  #SUP: 68313 (20.08%)
33  #SUP: 72103 (21.20%)
82  #SUP: 75753 (22.27%)
61  #SUP: 77682 (22.84%)
44  #SUP: 81036 (23.82%)
68  #SUP: 81477 (23.95%)
335  #SUP: 81839 (24.06%)
64  #SUP: 86208 (25.34%)
5  #SUP: 87125 (25.61%)
47  #SUP: 98762 (29.03%)
56  #SUP: 113311 (33.31%)
80  #SUP: 128400 (37.74%)
53  #SUP: 129054 (37.94%)
60  #SUP: 143416 (42.16%)
26  #SUP: 145386 (42.74%)
39  #SUP: 148762 (43.73%)
46  #SUP: 149518 (43.95%)
23  #SUP: 155901 (45.83%)
30  #SUP: 165311 (48.59%)

--- 2-itemsets HIẾM (MIXED) ---
16 42  #SUP: 51518 (15.14%)
12 42  #SUP: 52013 (15.29%)
18 42  #SUP: 52054 (15.30%)
17 42  #SUP: 52248 (15.36%)
7 16  #SUP: 54298 (15.96%)
7 18  #SUP: 56750 (16.68%)
7 12  #SUP: 56846 (16.71%)
7 17  #SUP: 56869 (16.72%)
15 108  #SUP: 51164 (15.04%)
29 108  #SUP: 52806 (15.52%)
27 108  #SUP: 53989 (15.87%)
31 108  #SUP: 55324 (16.26%)
21 108  #SUP: 55341 (16.27%)
16 108  #SUP: 57056 (16.77%)
12 108  #SUP: 57586 (16.93%)
18 108  #SUP: 57676 (16.95%)
17 108  #SUP: 57774 (16.98%)
41 62  #SUP: 51081 (15.02%)
15 62  #SUP: 51484 (15.13%)
27 62  #SUP: 52451 (15.42%)
29 62  #SUP: 53602 (15.76%)
21 62  #SUP: 54756 (16.10%)
31 62  #SUP: 57448 (16.89%)
16 62  #SUP: 58081 (17.07%)
12 62  #SUP: 58784 (17.28%)
18 62  #SUP: 58845 (17.30%)
17 62  #SUP: 58905 (17.32%)
9 29  #SUP: 52392 (15.40%)
9 21  #SUP: 54194 (15.93%)
9 31  #SUP: 55312 (16.26%)
9 16  #SUP: 57313 (16.85%)
9 12  #SUP: 58900 (17.31%)
9 18  #SUP: 58914 (17.32%)
9 17  #SUP: 59091 (17.37%)
29 102  #SUP: 53597 (15.76%)
27 102  #SUP: 53828 (15.82%)
59 102  #SUP: 55455 (16.30%)
43 102  #SUP: 55473 (16.31%)
21 102  #SUP: 56524 (16.62%)
31 102  #SUP: 58264 (17.13%)
16 102  #SUP: 58551 (17.21%)
18 102  #SUP: 59327 (17.44%)
12 102  #SUP: 59457 (17.48%)
17 102  #SUP: 59537 (17.50%)
27 35  #SUP: 51379 (15.10%)
29 35  #SUP: 53254 (15.65%)
21 35  #SUP: 54723 (16.09%)
35 43  #SUP: 55044 (16.18%)
31 35  #SUP: 55158 (16.21%)
16 35  #SUP: 57529 (16.91%)
23 35  #SUP: 57803 (16.99%)
18 35  #SUP: 59517 (17.50%)
12 35  #SUP: 59635 (17.53%)
17 35  #SUP: 59706 (17.55%)
21 49  #SUP: 52139 (15.33%)
29 49  #SUP: 52666 (15.48%)
31 49  #SUP: 54256 (15.95%)
16 49  #SUP: 57814 (16.99%)
18 49  #SUP: 59556 (17.51%)
12 49  #SUP: 59696 (17.55%)
17 49  #SUP: 59787 (17.57%)
41 84  #SUP: 52986 (15.58%)
59 84  #SUP: 53404 (15.70%)
27 84  #SUP: 54738 (16.09%)
29 84  #SUP: 54840 (16.12%)
21 84  #SUP: 57906 (17.02%)
43 84  #SUP: 59320 (17.44%)
31 84  #SUP: 59386 (17.46%)
16 84  #SUP: 60302 (17.73%)
18 84  #SUP: 61416 (18.05%)
12 84  #SUP: 61457 (18.07%)
80 84  #SUP: 61554 (18.09%)
17 84  #SUP: 61627 (18.12%)
33 43  #SUP: 54308 (15.96%)
31 33  #SUP: 56278 (16.54%)
27 33  #SUP: 56761 (16.69%)
21 33  #SUP: 58875 (17.31%)
29 33  #SUP: 59033 (17.35%)
16 33  #SUP: 62579 (18.40%)
17 33  #SUP: 64778 (19.04%)
18 33  #SUP: 64832 (19.06%)
12 33  #SUP: 64934 (19.09%)
25 82  #SUP: 51761 (15.22%)
1 82  #SUP: 52362 (15.39%)
22 82  #SUP: 53617 (15.76%)
59 82  #SUP: 53653 (15.77%)
24 82  #SUP: 54932 (16.15%)
28 82  #SUP: 55778 (16.40%)
15 82  #SUP: 55970 (16.45%)
27 82  #SUP: 56908 (16.73%)
41 82  #SUP: 57027 (16.76%)
43 82  #SUP: 59673 (17.54%)
21 82  #SUP: 60274 (17.72%)
29 82  #SUP: 60542 (17.80%)
31 82  #SUP: 65764 (19.33%)
16 82  #SUP: 66947 (19.68%)
12 82  #SUP: 68139 (20.03%)
17 82  #SUP: 68192 (20.05%)
18 82  #SUP: 68204 (20.05%)
25 61  #SUP: 52002 (15.29%)
1 61  #SUP: 52537 (15.44%)
59 61  #SUP: 53551 (15.74%)
24 61  #SUP: 56180 (16.51%)
28 61  #SUP: 56583 (16.63%)
15 61  #SUP: 57003 (16.76%)
41 61  #SUP: 59062 (17.36%)
43 61  #SUP: 59318 (17.44%)
27 61  #SUP: 60389 (17.75%)
29 61  #SUP: 63120 (18.55%)
21 61  #SUP: 64656 (19.01%)
31 61  #SUP: 67131 (19.73%)
16 61  #SUP: 68263 (20.07%)
18 61  #SUP: 69783 (20.51%)
12 61  #SUP: 69880 (20.54%)
17 61  #SUP: 69977 (20.57%)
25 44  #SUP: 51703 (15.20%)
28 44  #SUP: 55429 (16.29%)
41 44  #SUP: 56274 (16.54%)
15 44  #SUP: 58984 (17.34%)
43 44  #SUP: 61278 (18.01%)
29 44  #SUP: 63609 (18.70%)
27 44  #SUP: 65116 (19.14%)
