=== PREPOST+ - FREQUENT PATTERN MINING ===
File dữ liệu: inputITtree.txt
Minsup tuyệt đối: 1 (dựa trên 12 giao dịch)
Minsup tương đối: 1.0%
Thời gian bắt đầu: Thu May 29 23:13:12 ICT 2025

========== TẤT CẢ CÁC ITEMSET THƯỜNG XUYÊN VỚI MINSUP >= 1 ==========
[1]                            support: 7
[9]                            support: 6
[3]                            support: 5
[2]                            support: 5
[11]                           support: 4
[11 9]                         support: 4
[3 1]                          support: 4
[6]                            support: 3
[6 3]                          support: 3
[6 1]                          support: 3
[6 3 1]                        support: 3
[4]                            support: 3
[4 1]                          support: 3
[2 1]                          support: 3
[7]                            support: 2
[7 4]                          support: 2
[7 1]                          support: 2
[7 4 1]                        support: 2
[5]                            support: 2
[5 1]                          support: 2
[6 4]                          support: 2
[6 4 3]                        support: 2
[6 4 1]                        support: 2
[6 4 3 1]                      support: 2
[4 3]                          support: 2
[4 3 1]                        support: 2
[4 2]                          support: 2
[4 2 1]                        support: 2
[11 2]                         support: 2
[11 2 9]                       support: 2
[3 2]                          support: 2
[2 9]                          support: 2
[13]                           support: 1
[13 11]                        support: 1
[13 3]                         support: 1
[13 11 3]                      support: 1
[13 2]                         support: 1
[13 11 2]                      support: 1
[13 3 2]                       support: 1
[13 11 3 2]                    support: 1
[13 9]                         support: 1
[13 11 9]                      support: 1
[13 3 9]                       support: 1
[13 11 3 9]                    support: 1
[13 2 9]                       support: 1
[13 11 2 9]                    support: 1
[13 3 2 9]                     support: 1
[13 11 3 2 9]                  support: 1
[12]                           support: 1
[12 9]                         support: 1
[10]                           support: 1
[10 11]                        support: 1
[10 9]                         support: 1
[10 11 9]                      support: 1
[8]                            support: 1
[8 5]                          support: 1
[8 2]                          support: 1
[8 5 2]                        support: 1
[8 1]                          support: 1
[8 5 1]                        support: 1
[8 2 1]                        support: 1
[8 5 2 1]                      support: 1
[7 6]                          support: 1
[7 6 4]                        support: 1
[7 6 1]                        support: 1
[7 6 4 1]                      support: 1
[7 6 3]                        support: 1
[7 6 4 3]                      support: 1
[7 6 1 3]                      support: 1
[7 6 4 1 3]                    support: 1
[7 3]                          support: 1
[7 3 4]                        support: 1
[7 3 1]                        support: 1
[7 3 4 1]                      support: 1
[7 2]                          support: 1
[7 2 4]                        support: 1
[7 2 1]                        support: 1
[7 2 4 1]                      support: 1
[5 6]                          support: 1
[5 6 1]                        support: 1
[5 6 3]                        support: 1
[5 6 1 3]                      support: 1
[5 3]                          support: 1
[5 3 1]                        support: 1
[5 2]                          support: 1
[5 2 1]                        support: 1
[6 4 2]                        support: 1
[6 4 2 3]                      support: 1
[6 4 2 1]                      support: 1
[6 4 2 3 1]                    support: 1
[6 2]                          support: 1
[6 2 3]                        support: 1
[6 2 1]                        support: 1
[6 2 3 1]                      support: 1
[4 3 2]                        support: 1
[4 3 2 1]                      support: 1
[11 3]                         support: 1
[11 3 9]                       support: 1
[11 3 2]                       support: 1
[11 3 9 2]                     support: 1
[11 1]                         support: 1
[11 1 9]                       support: 1
[3 2 9]                        support: 1
[3 2 1]                        support: 1
[3 9]                          support: 1
[9 1]                          support: 1

========== TỔNG KẾT ==========
Tổng số itemset thường xuyên tìm được: 106

========== THÔNG TIN HIỆU SUẤT ==========
Tổng thời gian thực thi: 00:04.500 (phút:giây.mili giây) [4500 ms]
Bộ nhớ tối đa sử dụng: 45.34 MB
Thời gian kết thúc: Thu May 29 23:13:17 ICT 2025
Thuật toán: PrePost+
